x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],neutron_id
39.68,168.5,6.546875e-07,3.0,5.208333333333e-10, nan,476
224.01,162.33,6.578125e-07,1.0,0.0, nan,476
39.08,124.19,7.21875e-07,1.0,0.0, nan,482
41.98,124.11,6.265625e-07,1.0,0.0, nan,490
133.08,37.58,6.265625e-07,1.0,0.0, nan,490
39.88,125.08,6.28125e-07,2.0,2.34375e-09, nan,490
130.94,36.21,6.28125e-07,5.0,2.8125e-09, nan,490
132.11,36.18,6.28125e-07,1.0,0.0, nan,490
130.85,36.14,6.28125e-07,1.0,0.0, nan,490
141.84,42.18,6.28125e-07,2.0,7.8125e-10, nan,490
67.93,83.69,6.296875e-07,1.0,0.0, nan,490
96.66,34.34,4.125e-07,2.0,7.8125e-10, nan,491
67.47,83.88,4.171875e-07,1.0,0.0, nan,491
95.29,34.2,4.1875e-07,1.0,0.0, nan,492
174.34,223.08,4.734375e-07,4.0,3.125e-09, nan,493
202.92,164.94,4.734375e-07,2.0,7.8125e-10, nan,493
96.13,35.06,4.75e-07,2.0,0.0, nan,493
159.07,157.84,4.75e-07,1.0,0.0, nan,493
173.39,220.93,4.75e-07,1.0,0.0, nan,493
142.73,164.84,4.75e-07,1.0,0.0, nan,493
178.93,77.43,4.75e-07,1.0,0.0, nan,493
125.59,67.08,4.78125e-07,1.0,0.0, nan,493
204.34,226.06,4.8125e-07,1.0,0.0, nan,493
50.68,79.47,4.8125e-07,1.0,0.0, nan,493
36.49,29.93,4.84375e-07,1.0,0.0, nan,493
204.94,226.05,7.5625e-07,2.0,7.8125e-10, nan,495
141.47,23.64,4.28125e-07,14.0,4.129464285714e-09, nan,496
196.92,219.58,4.28125e-07,1.0,0.0, nan,496
141.95,23.37,4.28125e-07,3.0,1.041666666667e-09, nan,496
139.19,26.43,4.359375e-07,1.0,0.0, nan,496
54.78,93.12,7.09375e-07,1.0,0.0, nan,500
83.28,150.59,7.09375e-07,10.0,4.53125e-09, nan,500
80.18,113.42,9.78125e-07,1.0,0.0, nan,502
86.1,115.89,7.28125e-07,1.0,0.0, nan,505
78.05,114.65,7.3125e-07,1.0,0.0, nan,505
86.03,115.86,4.015625e-07,1.0,0.0, nan,509
83.91,205.26,4.015625e-07,3.0,4.6875e-09, nan,509
26.05,94.53,4.03125e-07,1.0,0.0, nan,509
85.23,205.3,4.03125e-07,1.0,0.0, nan,509
86.22,203.38,4.03125e-07,1.0,0.0, nan,509
81.55,202.36,4.046875e-07,1.0,0.0, nan,509
25.99,94.56,3.8125e-07,1.0,0.0, nan,511
46.71,64.91,4.5e-07,2.0,7.8125e-10, nan,528
121.48,133.3,4.5e-07,10.0,3.28125e-09, nan,528
121.73,132.88,4.5e-07,3.0,3.125e-09, nan,528
120.33,132.09,4.515625e-07,1.0,0.0, nan,528
46.19,65.65,4.515625e-07,1.0,0.0, nan,528
44.54,67.17,4.53125e-07,1.0,0.0, nan,528
